"direccion","lat","lon"
"CATAMARCA 1095, CABA, Argentina",-34.6225852469388,-58.4044278612245
"CORRIENTES AV. 1646, CABA, Argentina",-34.6041224,-58.4053431
"TERRADA 485, CABA, Argentina",-34.6262171857143,-58.4700392
"TRIUNVIRATO AV. 4500, CABA, Argentina",-34.5787596,-58.4795473
"CULLEN 5219, CABA, Argentina",-34.5735285265306,-58.4892550489796
"MARTINEZ CASTRO 2974, CABA, Argentina",-34.6576154,-58.4556486
"AVENIDA ALVAREZ THOMAS 540, CABA, Argentina",-34.5808648,-58.4504494
"BRASIL 1110, CABA, Argentina",-34.6284127,-58.3856933
"SARMIENTO 3004, CABA, Argentina",-34.6067612591837,-58.408904677551
"OLAZABAL AV. 4432, CABA, Argentina",-34.5596442,-58.458657053353
"BRASIL 882, CABA, Argentina",-34.62703375,-58.3768691711616
"ENTRE RIOS AV. 1862, CABA, Argentina",-34.6227394,-58.3914497
"CASEROS AV. 3001, CABA, Argentina",-34.6354349,-58.3990398
"ALVEAR 1661, CABA, Argentina",-34.6434519,-58.4839341
"LA PAMPA 5025, CABA, Argentina",-34.5793222390244,-58.4794950097561
"CONGRESO 1931, CABA, Argentina",-34.5529969,-58.4579303736842
"BARCO CENTENERA del 2957, CABA, Argentina",-34.6508622857143,-58.4244534285714
"ARCOS 1851, CABA, Argentina",-34.5626663367347,-58.4517395040816
"COSTA RICA 4337, CABA, Argentina",-34.5905171846154,-58.4233809461538
"CUBA 2491, CABA, Argentina",-34.53814025,-58.4498263349812
"SALTA 1329, CABA, Argentina",-34.6237349058824,-58.3830316823529
"PIEDRAS 1649, CABA, Argentina",-34.6280197244898,-58.3751557959184
"OLAZABAL AV. 4800, CABA, Argentina",-34.5596442,-58.458657053353
"VEDIA 1700, CABA, Argentina",-34.536457,-58.4678186
"MONTAÑESES 2724, CABA, Argentina",-34.5518335959184,-58.4538719816327
"LOPE DE VEGA 419, CABA, Argentina",-34.6336359877551,-58.5001522265306
"SALTA 1563, CABA, Argentina",-34.6265544816327,-58.3829465285714
"CORRALES 6745, CABA, Argentina",-34.6919255510204,-58.4737224489796
"AVELLANEDA AV. 3510, CABA, Argentina",-34.6284067734694,-58.4788767959184
"GUAMINI 5702, CABA, Argentina",-34.6945633,-58.467528
"ROOSEVELT FRANKLIN D. 3644, CABA, Argentina",-34.5574332,-58.4606697
"CORRIENTES AV. 3564, CABA, Argentina",-34.6041224,-58.4053431
"CORRIENTES AV. 2322, CABA, Argentina",-34.6041224,-58.4053431
"RIVADAVIA AV. 3913, CABA, Argentina",-34.6204106,-58.4412692
"TUCUMAN 3014, CABA, Argentina",-34.6011221857143,-58.4080440040816
"O'HIGGINS 4060, CABA, Argentina",-34.5436660938775,-58.4667814612245
"ESCALADA AV. 809, CABA, Argentina",-34.6745264,-58.4601315
"CAMPANA 2910, CABA, Argentina",-34.6036105163265,-58.4956249571429
"CORDOBA AV. 5267, CABA, Argentina",-34.5991974,-58.4039401
"CORRALES 2672, CABA, Argentina",-34.6590597142857,-58.4359085714286
"FITZ ROY 1327, CABA, Argentina",-34.5873530061224,-58.4397852346939
"DEFENSA 1136, CABA, Argentina",-34.61413635,-58.3720476550352
"CHARCAS 3847, CABA, Argentina",-34.587194477551,-58.4182448326531
"ALBERTI 1052, CABA, Argentina",-34.6215860469388,-58.4006317265306
"HUMAHUACA 4310, CABA, Argentina",-34.6015515918367,-58.4257325918367
"BOEDO AV. 697, CABA, Argentina",-34.6208562857143,-58.416682244898
"AVENIDA ALVAREZ THOMAS 3312, CABA, Argentina",-34.5707670530612,-58.4844347714286
"BOLIVAR 1526, CABA, Argentina",-34.6258108591837,-58.3725446653061
"HOLMBERG 3465, CABA, Argentina",-34.559970522449,-58.4839243020408
"CORRIENTES AV. 1716, CABA, Argentina",-34.6041224,-58.4053431
"GIRIBONE 863, CABA, Argentina",-34.58031255,-58.454909214605
"SALTA 148, CABA, Argentina",-34.6102845489796,-58.383318355102
"ZAPIOLA 1353, CABA, Argentina",-34.5721564,-58.4554606
"NAZCA AV. 281, CABA, Argentina",-34.630944,-58.4704936
"SALTA 1422, CABA, Argentina",-34.6250489591837,-58.3828071020408
"IBERA 2108, CABA, Argentina",-34.5520251816327,-58.4613613530612
"RESERVISTAS ARGENTINOS AV. 439, CABA, Argentina",-34.6355171020408,-58.5246971714286
"AMENABAR 1840, CABA, Argentina",-34.56569375,-58.4567323005563
"CAPDEVILA 3060, CABA, Argentina",-34.5693173265306,-58.4908088408163
"SALTA 1846, CABA, Argentina",-34.629555844898,-58.3826005816327
"CABILDO AV. 1237, CABA, Argentina",-34.5680203367347,-58.4483587285714
"ESTADOS UNIDOS 756, CABA, Argentina",-34.6186019489796,-58.3766385102041
"RIGLOS 407, CABA, Argentina",-34.623425255102,-58.4363415081633
"CASEROS AV. 3699, CABA, Argentina",-34.6354349,-58.3990398
"SALTA 1889, CABA, Argentina",-34.6295672979592,-58.382860522449
"BONPLAND 1617, CABA, Argentina",-34.5840132142857,-58.4379675959184
"MORENO 2201, CABA, Argentina",-34.6129907,-58.3975441
"JURAMENTO AV. 2163, CABA, Argentina",-34.5605891795918,-58.4544765979592
"CASTAÑARES AV. 6102, CABA, Argentina",-34.6472776,-58.4492207
"SALTA 1356, CABA, Argentina",-34.6241465,-58.3828412933333
"IRIGOYEN 453, CABA, Argentina",-34.6351039600475,-58.5074358622525
"AVENIDA DEL LIBERTADOR 7446, CABA, Argentina",-34.5936297,-58.3739013
"RAUCH 3951, CABA, Argentina",-34.6000275040816,-58.4198065306122
"CUENCA 2864, CABA, Argentina",-34.6033507081633,-58.4939043142857
"NOGOYA 3664, CABA, Argentina",-34.6065624615385,-58.4979820435897
"PRIMERA JUNTA 4477, CABA, Argentina",-34.6526411061224,-58.4762253938775
"LA RIOJA 2165, CABA, Argentina",-34.6366930653061,-58.4057636571429
"CAMPANA 2614, CABA, Argentina",-34.6062935510204,-58.4934450408163
"CORRIENTES AV. 3234, CABA, Argentina",-34.6041224,-58.4053431
"CUBA 2119, CABA, Argentina",-34.53814025,-58.4498263349812
"GUAMINI 5223, CABA, Argentina",-34.6904011857143,-58.4734263306122
"SALTA 1742, CABA, Argentina",-34.6283696766089,-58.3826831137834
"MONTIEL 5165, CABA, Argentina",-34.6887079591837,-58.4773893673469
"TRIUNVIRATO AV. 5786, CABA, Argentina",-34.5858063,-58.4545343
"RIVADAVIA AV. 9840, CABA, Argentina",-34.6204106,-58.4412692
"CORRIENTES AV. 2330, CABA, Argentina",-34.6041224,-58.4053431
"SAN JOSE 1764, CABA, Argentina",-34.6293392816327,-58.3855500183673
"HELGUERA 645, CABA, Argentina",-34.6244257959184,-58.4754273061224
"ZAPIOLA 3865, CABA, Argentina",-34.5502790408163,-58.4759245306122
"ESTADOS UNIDOS 630, CABA, Argentina",-34.6185837142857,-58.3748270285714
"MAZA 1165, CABA, Argentina",-34.6248944653061,-58.4148178285714
"CABILDO AV. 1168, CABA, Argentina",-34.5687139632653,-58.4478632836735
"ESTADOS UNIDOS 758, CABA, Argentina",-34.6186164,-58.3767253
"SAENZ AV. 1263, CABA, Argentina",-34.6484435,-58.4162704
"CARABOBO AV. 17, CABA, Argentina",-34.6270438061225,-58.4566983204082
"ENTRE RIOS AV. 1056, CABA, Argentina",-34.6227394,-58.3914497
"SAN JOSE 123, CABA, Argentina",-34.6102791653061,-58.3862799204082
"ZAPIOLA 1495, CABA, Argentina",-34.5714305367347,-58.4569000326531
"AVELLANEDA AV. 3045, CABA, Argentina",-34.6268952,-58.4737469938775
"BACACAY 3068, CABA, Argentina",-34.6291107571429,-58.4729640632653
"ALTOLAGUIRRE 3391, CABA, Argentina",-34.5682127346939,-58.4977753877551
"ESTADOS UNIDOS 1502, CABA, Argentina",-34.618932,-58.387579
"ESTADOS UNIDOS 3620, CABA, Argentina",-34.622545555102,-58.4167793734694
"SAN JOSE 1899, CABA, Argentina",-34.630975,-58.38567
"CABILDO AV. 1098, CABA, Argentina",-34.5691260693878,-58.447030422449
"ROSARIO 876, CABA, Argentina",-34.6207959272727,-58.4406806666667
"24 DE NOVIEMBRE 225, CABA, Argentina",-34.613407755102,-58.411522755102
"SAN JOSE 336, CABA, Argentina",-34.6127308183673,-58.3860391367347
"AVENIDA ALVAREZ THOMAS 1109, CABA, Argentina",-34.5783697671287,-58.4574307534051
"CORDOBA AV. 1102, CABA, Argentina",-34.5991974,-58.4039401
"CASEROS AV. 2620, CABA, Argentina",-34.6354349,-58.3990398
"ALCARAZ 4340, CABA, Argentina",-34.6177075816327,-58.4997295653061
"SAN NICOLAS 327, CABA, Argentina",-34.6292501714286,-58.4794142346939
"ELCANO AV. 3430, CABA, Argentina",-34.5760237,-58.4597154857143
"AVELLANEDA AV. 3199, CABA, Argentina",-34.6273155,-58.4754386
"ALVAREZ JONTE 2311, CABA, Argentina",-34.5992865,-58.4682236
"DONADO 2241, CABA, Argentina",-34.5715623857143,-58.4760432857143
"URIARTE 1657, CABA, Argentina",-34.586979225,-58.4312257625
"PERU 535, CABA, Argentina",-34.6142883816327,-58.3746606734694
"AVENIDA DE LOS INCAS 4508, CABA, Argentina",-34.5741356,-58.4624437
"CAMPOS SALLES 2310, CABA, Argentina",-34.5517055367347,-58.4648583387755
"PAVON 1203, CABA, Argentina",-34.6259270959184,-58.3830491020408
"JURAMENTO 2103, CABA, Argentina",-34.5603308122449,-58.4540337612245
"CABILDO AV. 1974, CABA, Argentina",-34.563345024,-58.45580924
"SAENZ AV. 1042, CABA, Argentina",-34.6484435,-58.4162704
"THAMES 1653, CABA, Argentina",-34.5877188916667,-58.430517425
"MEXICO 2841, CABA, Argentina",-34.6175267489796,-58.4059429755102
"RAFAELA 4629, CABA, Argentina",-34.6389377428571,-58.4921606571429
"AVELLANEDA AV. 3727, CABA, Argentina",-34.6288005346939,-58.4813753755102
"BLANCO ENCALADA 2284, CABA, Argentina",-34.5585928,-58.457927
"TRIUNVIRATO AV. 4634, CABA, Argentina",-34.5787596,-58.4795473
"BELGRANO AV. 1612, CABA, Argentina",-34.6137473836735,-58.3892064040816
"CORRIENTES AV. 1770, CABA, Argentina",-34.6041224,-58.4053431
"CORRIENTES AV. 3778, CABA, Argentina",-34.6041224,-58.4053431
"LISBOA 690, CABA, Argentina",-34.6293186020408,-58.5201145897959
"PIERES 538, CABA, Argentina",-34.6453143877551,-58.5114204489796
"CAPDEVILA 3179, CABA, Argentina",-34.5679537755102,-58.4915263877551
"CACHIMAYO 168, CABA, Argentina",-34.6224787666667,-58.4420039282828
"CORDOBA AV. 4175, CABA, Argentina",-34.5991974,-58.4039401
"LAVALLE 826, CABA, Argentina",-34.6024750673469,-58.3785230346939
"YERBAL 2931, CABA, Argentina",-34.6295054204082,-58.4708412387755
"ELCANO AV. 3410, CABA, Argentina",-34.575829,-58.459678
"CONDE 252, CABA, Argentina",-34.579749869697,-58.4462682292929
"CASTAÑARES AV. 5666, CABA, Argentina",-34.652263,-58.4550328
"ARENALES 1928, CABA, Argentina",-34.5947144734694,-58.3949696714286
"JUNIN 731, CABA, Argentina",-34.6006154857143,-58.3970258816327
"JURAMENTO 1613, CABA, Argentina",-34.5574407306122,-58.4491945693878
"JUJUY AV. 899, CABA, Argentina",-34.6197221,-58.4033821
"CORDOBA 6401, CABA, Argentina",-34.5822906,-58.4498978
"SANABRIA 1940, CABA, Argentina",-34.6185788122449,-58.4998434530612
"POSADAS 1086, CABA, Argentina",-34.5905715,-58.3825741
"BALCARCE 556, CABA, Argentina",-34.6138208,-58.3707377
"BELGRANO AV. 2978, CABA, Argentina",-34.6151566020408,-58.408026955102
"ECHEVERRIA 1550, CABA, Argentina",-34.5581008923077,-58.4475283692308
"CHICLANA AV. 3833, CABA, Argentina",-34.6383497333333,-58.4175933333333
"DORREGO AV. 1230, CABA, Argentina",-34.5917642,-58.4474918
"COSTA RICA 5709, CABA, Argentina",-34.5816701469388,-58.4357795857143
"ESTADOS UNIDOS 414, CABA, Argentina",-34.6185306714286,-58.3718641306122
"FLORIDA 602, CABA, Argentina",-34.6009749,-58.3753844
"CAMARONES 1600, CABA, Argentina",-34.6044375,-58.4639554
"JURAMENTO 1709, CABA, Argentina",-34.5624355,-58.4563786
"TERRERO 2044, CABA, Argentina",-34.605699,-58.4685165714286
"YERBAL 3767, CABA, Argentina",-34.622723,-58.450146
"AMENABAR 2237, CABA, Argentina",-34.5618302,-58.4595881
"CORDOBA AV. 2141, CABA, Argentina",-34.5991974,-58.4039401
"ITUZAINGO 749, CABA, Argentina",-34.6308538727273,-58.3749077212121
"AREVALO 1449, CABA, Argentina",-34.5832061979592,-58.4429049081633
"CABILDO AV. 1978, CABA, Argentina",-34.5633015,-58.4558706
"CABILDO AV. 2370, CABA, Argentina",-34.5595673285714,-58.4590362857143
"RIGLOS 356, CABA, Argentina",-34.6226217837838,-58.4363495513513
"CASEROS AV. 2449, CABA, Argentina",-34.6354349,-58.3990398
"LA PAMPA 1575, CABA, Argentina",-34.5600209,-58.4462339
"BOGOTA 2596, CABA, Argentina",-34.626161244898,-58.466881055102
"TACUARI 1284, CABA, Argentina",-34.6233249408163,-58.3784787591837
"BELGRANO AV. 2639, CABA, Argentina",-34.614474,-58.4038012041667
"BELGRANO AV. 3176, CABA, Argentina",-34.6154339734694,-58.4107317938776
"LASTRA AV. 3585, CABA, Argentina",-34.6055774,-58.524059
"ELCANO AV. 3127, CABA, Argentina",-34.5722497,-58.4591183
"CORRIENTES AV. 3144, CABA, Argentina",-34.6041224,-58.4053431
"GUARDIA VIEJA 4160, CABA, Argentina",-34.6005145530612,-58.4231230346939
"SAN LUIS 2510, CABA, Argentina",-34.6001513653061,-58.4025629510204
